CodiMesa,VNULS,Vots nuls,VBLANCS,Vots en blanc,VCS,Vots,VJXC,Vots.1,VERC,Vots.2,VPSC,Vots.3,VCOM,Vots.4,VCUP,Vots.5,VPPC,Vots.6,VPACMA,Vots.7,VRECORTES,Vots.8,VPUMJUST,Vots.9,VDIALEG,Vots.10
0801505001B,0.0,2,0.0,3,0.0,103,0.0,293,0.0,228,0.0,66,0.0,44,0.0,51,0.0,23,0.0,5,0.0,0,0.0,0,0.0,0
0801505002U,0.0,3,0.0,2,0.0,31,0.0,200,0.0,218,0.0,36,0.0,38,0.0,53,0.0,16,0.0,2,0.0,2,0.0,0,0.0,0
0801505003A,0.0,1,0.0,6,0.0,149,0.0,182,0.0,210,0.0,94,0.0,87,0.0,51,0.0,31,0.0,6,0.0,0,0.0,0,0.0,0
0801505003B,0.0,6,0.0,3,0.0,136,0.0,161,0.0,268,0.0,93,0.0,90,0.0,47,0.0,26,0.0,5,0.0,5,0.0,0,0.0,0
0801505004A,0.0,1,0.0,3,124.0,124,114.0,114,170.0,170,64.0,64,42.0,42,26.0,26,25.0,25,0.0,5,0.0,0,0.0,0,0.0,0
0801505004B,0.0,3,0.0,4,131.0,131,86.0,86,143.0,143,66.0,66,56.0,56,28.0,28,32.0,32,0.0,2,0.0,2,0.0,0,0.0,0
0801505004C,0.0,2,0.0,0,128.0,128,133.0,133,151.0,146,65.0,65,55.0,55,20.0,20,27.0,27,0.0,4,0.0,0,0.0,0,0.0,0
0801505005A,0.0,1,0.0,1,168.0,168,86.0,86,151.0,151,86.0,86,51.0,51,13.0,13,36.0,36,0.0,7,0.0,2,0.0,0,0.0,0
0801505005B,0.0,4,0.0,6,184.0,184,112.0,112,163.0,163,92.0,92,68.0,68,30.0,30,36.0,36,0.0,5,0.0,3,0.0,0,0.0,0
0801505006A,0.0,1,0.0,1,0.0,30,0.0,170,0.0,132,0.0,31,0.0,15,0.0,25,0.0,11,0.0,1,0.0,0,0.0,0,0.0,0
0801505006B,0.0,0,0.0,2,0.0,29,0.0,175,0.0,142,0.0,28,0.0,28,0.0,26,0.0,8,0.0,2,0.0,0,0.0,0,0.0,0
0801506001U,0.0,5,0.0,3,0.0,292,0.0,69,0.0,183,0.0,129,0.0,93,0.0,20,0.0,40,0.0,8,0.0,2,0.0,0,0.0,0
0801506002A,0.0,1,0.0,1,0.0,56,0.0,129,0.0,86,0.0,34,0.0,21,0.0,15,0.0,13,0.0,3,0.0,2,0.0,0,0.0,0
0801506003U,0.0,1,0.0,3,0.0,222,0.0,35,0.0,102,0.0,161,0.0,63,0.0,5,0.0,65,0.0,17,0.0,3,0.0,0,0.0,0
0801506004U,0.0,6,0.0,3,0.0,293,0.0,42,0.0,96,0.0,124,0.0,59,0.0,16,0.0,71,0.0,23,0.0,1,0.0,0,0.0,0
0801506005A,0.0,0,0.0,0,0.0,159,0.0,12,0.0,50,0.0,83,0.0,46,0.0,6,0.0,55,0.0,1,0.0,9,0.0,0,0.0,0
0801506005B,0.0,2,0.0,0,0.0,170,0.0,9,0.0,48,0.0,131,0.0,39,0.0,10,0.0,46,0.0,10,0.0,6,0.0,0,0.0,0
0801506006U,0.0,6,0.0,2,0.0,245,0.0,29,0.0,74,0.0,112,0.0,58,0.0,18,0.0,80,0.0,8,0.0,0,0.0,0,0.0,0
0801507002A,0.0,3,0.0,1,0.0,220,0.0,70,0.0,127,0.0,144,0.0,74,0.0,30,0.0,48,0.0,8,0.0,3,0.0,0,0.0,0
0801507002B,0.0,4,0.0,6,0.0,233,0.0,69,0.0,169,0.0,179,0.0,75,0.0,15,0.0,43,0.0,4,0.0,3,0.0,0,0.0,0
0801507003A,0.0,2,0.0,3,0.0,133,0.0,35,0.0,77,0.0,75,0.0,32,0.0,9,0.0,27,0.0,3,0.0,1,0.0,0,0.0,0
0801507003B,0.0,2,0.0,1,0.0,134,0.0,39,0.0,67,0.0,90,0.0,38,0.0,20,0.0,46,0.0,8,0.0,1,0.0,0,0.0,0
0801507004U,0.0,2,0.0,4,0.0,172,0.0,128,0.0,209,0.0,91,0.0,55,0.0,24,0.0,45,0.0,7,0.0,2,0.0,0,0.0,0
0801507005U,0.0,5,0.0,0,0.0,132,0.0,48,0.0,66,0.0,71,0.0,41,0.0,9,0.0,63,0.0,5,0.0,1,0.0,0,0.0,0
0801507006U,0.0,1,0.0,5,0.0,195,0.0,92,0.0,162,0.0,93,0.0,55,0.0,25,0.0,49,0.0,8,0.0,5,0.0,0,0.0,0
0801507007U,0.0,0,0.0,4,152.0,152,26.0,26,38.0,38,84.0,84,33.0,33,4.0,4,53.0,53,0.0,5,0.0,1,0.0,0,0.0,0
0801507008U,0.0,3,0.0,1,0.0,244,0.0,37,0.0,57,0.0,106,0.0,49,0.0,8,0.0,51,0.0,13,0.0,4,0.0,0,0.0,0
0801507009U,0.0,3,0.0,6,0.0,142,0.0,15,0.0,38,0.0,64,0.0,44,0.0,1,0.0,43,0.0,8,0.0,0,0.0,0,0.0,0
0801507010U,0.0,4,0.0,4,0.0,166,0.0,17,0.0,51,0.0,72,0.0,44,0.0,9,0.0,58,0.0,4,0.0,1,0.0,0,0.0,0
0801507011A,0.0,2,0.0,3,0.0,181,0.0,40,0.0,79,0.0,97,0.0,60,0.0,15,0.0,52,0.0,5,0.0,4,0.0,0,0.0,0
0801507011B,0.0,3,0.0,3,0.0,183,0.0,44,0.0,110,0.0,136,0.0,60,0.0,12,0.0,52,0.0,7,0.0,2,0.0,0,0.0,0
0801507012U,0.0,1,0.0,2,0.0,332,0.0,23,0.0,87,0.0,176,0.0,74,0.0,9,0.0,85,0.0,6,0.0,3,0.0,0,0.0,0
0801507013A,0.0,4,0.0,0,0.0,139,0.0,11,0.0,35,0.0,84,0.0,32,0.0,4,0.0,56,0.0,8,0.0,0,0.0,0,0.0,0
0801507013B,0.0,1,0.0,4,0.0,180,0.0,24,0.0,55,0.0,77,0.0,40,0.0,15,0.0,49,0.0,10,0.0,3,0.0,0,0.0,0
0801507014A,0.0,0,0.0,0,0.0,158,0.0,25,0.0,46,0.0,68,0.0,39,0.0,15,0.0,43,0.0,5,0.0,1,0.0,0,0.0,0
0801507014B,0.0,2,0.0,2,0.0,187,0.0,24,0.0,55,0.0,90,0.0,62,0.0,15,0.0,48,0.0,9,0.0,2,0.0,0,0.0,0
